x,y
-11.978937,-4.424312
-11.989956,-4.4275856
-11.989246,-4.4281893
-11.988905,-4.427352
-11.991801,-4.4283104
-11.979102,-4.4241824
-11.979143,-4.4242725
-11.989342,-4.427511
-11.978349,-4.424039
-11.978478,-4.423998
18.76416,24.332642
18.764177,24.332668
18.763006,24.33264
18.764185,24.332705
18.764284,24.332674
18.764254,24.333065
18.764154,24.332706
18.764132,24.332611
18.764174,24.332745
18.764147,24.332705
7.5086613,12.397133
7.5081196,12.397122
7.5086164,12.397066
7.508143,12.396551
7.50799,12.396493
7.508466,12.396815
7.506225,12.396981
7.50874,12.396589
7.50877,12.396526
7.5083113,12.396873
3.1845953,1.7908756
3.1833951,1.7885498
3.1880124,1.7961053
3.1828234,1.7878503
3.183102,1.7883892
3.1815126,1.7888645
3.183605,1.7876794
3.183491,1.7871853
3.1672826,1.772701
3.1840448,1.7870349
12.730288,-6.9481177
12.730157,-6.9481826
12.73013,-6.947878
12.730085,-6.948132
12.730202,-6.9475856
12.730692,-6.948003
12.730478,-6.9482203
12.730423,-6.9483023
12.730346,-6.948105
12.730073,-6.948328
-8.646977,-9.434526
-8.646296,-9.4344845
-8.646763,-9.434538
-8.6465225,-9.434542
-8.646685,-9.434648
-8.643916,-9.431879
-8.64676,-9.43469
-8.646559,-9.434657
-8.648966,-9.43406
-8.646566,-9.434416
20.924677,9.832069
20.924658,9.832053
20.92621,9.832584
20.924673,9.832068
20.924448,9.83202
20.92498,9.832168
20.92509,9.83205
20.924927,9.832595
20.924774,9.831967
20.925062,9.832142
-9.372244,9.178879
-9.368089,9.174235
-9.371244,9.177842
-9.368798,9.175066
-9.371851,9.178196
-9.372074,9.178911
-9.367709,9.173959
-9.367773,9.174031
-9.369808,9.176104
-9.371395,9.178614
-15.613659,14.018589
-15.610828,14.023414
-15.613724,14.01858
-15.608343,14.027282
-15.614189,14.018304
-15.614137,14.018843
-15.617265,14.016571
-15.611938,14.02207
-15.610019,14.024883
-15.599231,14.0353565
26.748127,4.2224636
26.748663,4.222674
26.748652,4.222667
26.748682,4.222884
26.748463,4.222103
26.748985,4.2227855
26.749022,4.222668
26.761477,4.22903
26.748993,4.2228446
26.748318,4.2225256
18.193636,-4.07178
18.192545,-4.069089
18.192768,-4.0698266
18.192986,-4.073756
18.207598,-4.055552
18.194117,-4.070441
18.193714,-4.0695376
18.191666,-4.0692916
18.192738,-4.069514
18.1941,-4.0704684
8.419406,-2.6189518
8.405637,-2.6032717
8.421334,-2.620144
8.416022,-2.6170223
8.41945,-2.6201432
8.417105,-2.6170914
8.421987,-2.620344
8.429032,-2.6282368
8.417495,-2.6176775
8.447983,-2.644183
-13.5666485,-4.4014406
-13.566717,-4.4022784
-13.56668,-4.402285
-13.5666275,-4.4022665
-13.566709,-4.402038
-13.566697,-4.402196
-13.566616,-4.40234
-13.566749,-4.40226
-13.566854,-4.4021873
-13.5667305,-4.4021935
19.121763,3.5422938
19.12188,3.5419934
19.12167,3.5419176
19.121937,3.542031
19.121515,3.5404086
19.122133,3.5428605
19.121899,3.5421956
19.121805,3.5423024
19.122185,3.5419905
19.122156,3.5418212
-0.35993046,14.924112
-0.3599427,14.924175
-0.3599017,14.924169
-0.36004454,14.924048
-0.35987622,14.92451
-0.35990044,14.924183
-0.36069146,14.923808
-0.35985374,14.924102
-0.3600531,14.924135
-0.35973033,14.923765
8.7250805,19.617008
8.724834,19.617142
8.724838,19.617191
8.705626,19.596972
8.724868,19.617273
8.724331,19.616447
8.7248955,19.618847
8.72446,19.617376
8.723662,19.611502
8.726896,19.62913
22.945738,9.406695
22.94822,9.41151
22.946007,9.407614
22.946077,9.406549
22.946472,9.406476
22.946056,9.406531
22.946308,9.406933
22.946213,9.406433
22.946012,9.406387
22.946077,9.406588
9.044639,-9.048585
9.047034,-9.0411
9.03846,-9.023713
9.044253,-9.0415325
9.043671,-9.0390005
9.043167,-9.03835
9.044198,-9.040511
9.043938,-9.039989
9.044062,-9.041243
9.044031,-9.04031
-6.605995,14.488607
-6.6022754,14.489647
-6.605966,14.488829
-6.605793,14.488721
-6.605651,14.488997
-6.605689,14.488771
-6.60559,14.488702
-6.605973,14.48875
-6.6056323,14.488863
-6.6054983,14.488716
0.84850824,22.837965
0.8489461,22.837431
0.84844077,22.8374
0.8472663,22.838428
0.84871095,22.837837
