x,y
16.951334,7.527526
16.942463,7.5224113
16.94247,7.5211153
16.943888,7.5225806
16.942642,7.5226507
16.964933,7.5180874
16.945875,7.5239286
16.942884,7.5216403
16.945295,7.523388
16.94704,7.5246043
-17.828417,8.882109
-17.8281,8.881866
-17.828075,8.881825
-17.82813,8.881855
-17.828188,8.8818245
-17.82815,8.881877
-17.828123,8.881881
-17.828121,8.881834
-17.828169,8.881967
-17.828148,8.881873
-10.026614,-11.544295
-10.024431,-11.542798
-10.026856,-11.54447
-10.026861,-11.544528
-10.028946,-11.546769
-10.026586,-11.54372
-10.038306,-11.551997
-10.027273,-11.5451355
-10.039483,-11.557072
-10.025836,-11.543136
17.503328,-4.2148385
17.50361,-4.215228
17.503454,-4.214706
17.504116,-4.2159653
17.503395,-4.2132664
17.503454,-4.214824
17.503563,-4.2149396
17.503696,-4.2151613
17.50323,-4.214772
17.504124,-4.214763
9.739885,24.748446
9.74531,24.75264
9.744262,24.751919
9.741644,24.748623
9.744949,24.752237
9.744031,24.750662
9.743871,24.750895
9.743965,24.751343
9.744139,24.751749
9.744251,24.751734
12.317297,1.279529
12.31653,1.2803261
12.31749,1.2800676
12.316952,1.2802197
12.316762,1.2803106
12.316747,1.2795116
12.316654,1.2803237
12.316484,1.2804312
12.316301,1.280019
12.31659,1.2803018
3.876418,5.512216
3.8782277,5.5110345
3.8766866,5.5096226
3.8762586,5.5113173
3.8772547,5.5109177
3.8753638,5.5107765
3.876279,5.5105405
3.8751822,5.51209
3.8768992,5.5109057
3.8763316,5.510834
-6.5875497,3.0881705
-6.5883193,3.088794
-6.5876856,3.0875282
-6.588444,3.0869415
-6.588383,3.0871253
-6.5889764,3.0874236
-6.5886326,3.0870655
-6.588659,3.0867095
-6.588372,3.0874045
-6.5885406,3.0871696
-0.8529657,-0.3549845
-0.8521374,-0.35508087
-0.8688754,-0.35756135
-0.8499656,-0.35451862
-0.8527676,-0.355464
-0.85301006,-0.35561153
-0.85125035,-0.35503137
-0.8516696,-0.35524133
-0.85025185,-0.35449523
-0.840601,-0.3429739
11.320648,9.3065195
11.317437,9.308988
11.318167,9.307649
11.302522,9.324559
11.320868,9.305217
11.320713,9.304122
11.319129,9.307387
11.317437,9.308965
11.318168,9.308174
11.321902,9.303865
16.820364,-5.4729924
16.820894,-5.473218
16.82004,-5.4727607
16.820255,-5.4728355
16.820034,-5.4728627
16.820076,-5.4729295
16.820522,-5.472619
16.820028,-5.472894
16.820133,-5.4735665
16.820204,-5.472647
11.87954,11.903711
11.880623,11.904777
11.8853245,11.909189
11.880064,11.903852
11.885645,11.909426
11.879051,11.903242
11.88647,11.910426
11.881012,11.904942
11.880492,11.904566
11.885098,11.909174
-6.7656107,21.253336
-6.7656875,21.254068
-6.766885,21.249329
-6.766247,21.251743
-6.7654953,21.253593
-6.7657022,21.25318
-6.767945,21.247433
-6.766168,21.251698
-6.765778,21.252747
-6.7657437,21.252983
-4.774737,4.7875457
-4.7766533,4.7882605
-4.777708,4.789436
-4.7767506,4.788872
-4.7753677,4.787937
-4.7749286,4.7874436
-4.7758336,4.788311
-4.7751184,4.7872124
-4.7918196,4.802823
-4.784784,4.794303
16.42769,5.5469832
16.411293,5.5369797
16.41048,5.5364656
16.407822,5.537041
16.411015,5.536929
16.408073,5.536085
16.407825,5.536046
16.407892,5.5367823
16.401379,5.541517
16.408672,5.536825
4.4089465,1.939781
4.400438,1.9408479
4.4013767,1.9415991
4.3992615,1.9431363
4.408644,1.9321985
4.3987966,1.9435692
4.400107,1.9424626
4.4008374,1.9419804
4.398405,1.9430789
4.389507,1.9531639
6.095537,25.259018
6.0949454,25.25932
6.0956397,25.259008
6.09438,25.259623
6.085496,25.267832
6.1114774,25.252428
6.093689,25.260565
6.095076,25.259018
6.095762,25.258894
6.0944514,25.259172
-6.6507745,7.7610526
-6.659948,7.761131
-6.651145,7.760602
-6.6520553,7.7633853
-6.6511455,7.760357
-6.652262,7.7627788
-6.6518345,7.7609444
-6.6517105,7.7608333
-6.6485243,7.764128
-6.651769,7.76101
8.405082,19.066086
8.4054985,19.065474
8.401042,19.067865
8.4040365,19.066578
8.405315,19.065853
8.404638,19.066538
8.405055,19.066027
8.404678,19.065655
8.405285,19.065903
8.405363,19.065897
-13.501421,8.565296
-13.501349,8.56687
-13.500821,8.567014
-13.501135,8.565175
-13.501362,8.564965
-13.501385,8.56508
-13.500953,8.565148
-13.500708,8.564787
-13.501279,8.565019
-13.5011425,8.565305
13.613197,-1.6292828
13.612211,-1.6269974
13.612209,-1.6275308
13.613721,-1.6286205
13.612192,-1.6266063
13.612229,-1.6270039
13.612448,-1.6275216
13.612347,-1.6271502
13.6124735,-1.627312
13.612274,-1.6270198
18.02509,-0.7032461
18.02529,-0.7027203
18.02502,-0.7024808
18.024992,-0.70317274
18.025162,-0.7027124
18.025053,-0.7028986
18.019773,-0.70533854
18.024704,-0.70270807
18.025063,-0.70280755
18.025042,-0.7034782
-4.5087314,16.39274
-4.50871,16.394777
-4.5069284,16.397638
-4.509431,16.394339
-4.5086093,16.39517
-4.5086093,16.39369
-4.5087814,16.394037
-4.5082374,16.393536
-4.509936,16.394123
-4.5085096,16.393648
18.234612,8.272331
18.260752,8.247468
18.254772,8.253645
18.255495,8.241888
18.257433,8.249143
18.259134,8.24664
18.260185,8.246015
18.260267,8.245781
18.255741,8.248793
18.25826,8.248243
6.014339,10.449233
6.0091205,10.44492
6.0111547,10.446825
6.013555,10.448251
6.011627,10.447414
6.013557,10.448505
6.0109158,10.44694
6.013091,10.448058
6.007589,10.444481
6.011632,10.447203
-14.193086,-5.8290005
-14.193015,-5.8291507
-14.193023,-5.8290157
-14.1930275,-5.8291054
-14.193032,-5.829124
-14.193026,-5.829139
-14.1930275,-5.829128
-14.193104,-5.8290334
-14.193037,-5.829132
-14.193017,-5.829139
15.126316,7.3320956
15.133278,7.33468
15.133222,7.3346896
15.129467,7.336713
15.132261,7.331791
15.133064,7.3348546
15.132486,7.3337326
15.129187,7.335333
15.13221,7.334403
15.129156,7.3397875
7.624495,2.3238573
7.628655,2.3267863
7.6238008,2.3231165
7.6222863,2.3201454
7.623891,2.3225741
7.623872,2.3227007
7.623111,2.3215857
7.625408,2.3247597
7.624999,2.3223977
7.6013474,2.3020244
7.9539657,-2.4600856
7.952729,-2.4598145
7.952536,-2.459515
7.952918,-2.4604092
7.952073,-2.4600036
7.952487,-2.4598732
7.9529796,-2.460064
7.954718,-2.4601524
7.9534717,-2.4599824
7.952089,-2.459915
3.689376,-13.2417755
3.6892931,-13.241767
3.6899502,-13.242366
3.6893685,-13.241987
3.6892428,-13.242261
3.6893513,-13.241633
3.690205,-13.243028
3.689736,-13.242023
3.6892915,-13.241538
3.6896694,-13.242785
12.677598,4.5408893
12.677252,4.539396
12.676919,4.538175
12.676634,4.53877
12.676673,4.5383034
12.67739,4.5389805
12.677476,4.539934
12.676972,4.538653
12.677588,4.539433
12.669832,4.5341372
-0.59492767,7.727019
-0.59286135,7.7272305
-0.5938445,7.7281055
-0.59475493,7.726793
-0.5948871,7.72712
-0.5946958,7.726913
-0.5948334,7.7269287
-0.59410965,7.727068
-0.5951248,7.7270164
-0.5943912,7.7270117
21.75067,-1.9591776
21.751064,-1.9599222
21.750925,-1.9597893
21.750597,-1.9592376
21.748285,-1.9539291
21.750645,-1.9588517
21.750368,-1.9587303
21.750698,-1.9593267
21.750948,-1.9595326
21.750824,-1.9596988
10.045203,12.729013
10.045033,12.7294035
10.045614,12.728102
10.045954,12.727257
10.045402,12.728612
10.04467,12.729807
10.045189,12.730113
10.044417,12.730026
10.044707,12.729881
10.04563,12.728728
-3.5477815,20.361212
-3.547605,20.361488
-3.5464501,20.360704
-3.54707,20.361824
-3.5477984,20.362123
-3.5466306,20.359587
-3.5377407,20.35657
-3.546062,20.361809
-3.5478756,20.36074
-3.5580435,20.350113
2.5899608,23.324055
2.5900831,23.323074
2.5900338,23.323921
2.5899096,23.323162
